 offer_id |      offer_created_at      | platform | count_responds | count_prematch 
   157000 | 2022-05-02 16:19:17.622043 | admins   |              0 |              0
   157001 | 2022-05-02 16:20:02.963641 | admins   |              1 |              1
   157002 | 2022-05-02 16:21:34.672529 | admins   |              5 |              5
   157003 | 2022-05-02 16:22:22.479654 | admins   |              0 |              0
   157004 | 2022-05-02 16:22:54.942181 | admins   |              1 |              1
   157005 | 2022-05-02 16:23:09.357769 | admins   |              0 |              0
   157006 | 2022-05-02 16:23:46.367343 | admins   |              0 |              0
   157007 | 2022-05-02 16:26:09.551894 | admins   |              2 |              2
   157008 | 2022-05-02 16:26:18.927323 | admins   |              3 |              3
   157009 | 2022-05-02 16:27:18.125076 | admins   |              1 |              1
   157010 | 2022-05-02 16:27:39.55259  | admins   |              1 |              1
   157011 | 2022-05-02 16:29:27.992687 | admins   |              0 |              0
   157012 | 2022-05-02 16:30:40.561483 | admins   |              2 |              2
   157013 | 2022-05-02 16:31:26.189039 | admins   |              5 |              5
   157014 | 2022-05-02 16:32:25.251589 | admins   |              0 |              0
   157015 | 2022-05-02 16:33:11.684905 | admins   |              0 |              0
   157016 | 2022-05-02 16:33:47.177715 | admins   |              5 |              5
   157017 | 2022-05-02 16:35:41.600566 | admins   |              0 |              0
   157018 | 2022-05-02 16:37:58.670088 | admins   |              0 |              0
   157019 | 2022-05-02 16:38:27.200571 | admins   |              3 |              3
   157020 | 2022-05-02 16:39:00.355886 | admins   |              3 |              3
   157021 | 2022-05-02 16:42:16.719369 | admins   |              0 |              0
   157022 | 2022-05-02 16:44:07.82796  | admins   |              2 |              2
   157023 | 2022-05-02 16:44:55.545963 | admins   |              2 |              2
   157024 | 2022-05-02 16:45:03.820586 | admins   |              5 |              5
   157025 | 2022-05-02 16:46:15.634526 | admins   |              1 |              1
   157026 | 2022-05-02 16:50:11.400507 | admins   |              5 |              5
   157027 | 2022-05-02 17:02:20.909488 | admins   |              5 |              5
   157028 | 2022-05-02 17:04:25.401842 | admins   |              1 |              1
   157029 | 2022-05-02 17:06:45.143393 | admins   |              0 |              0
   157030 | 2022-05-02 17:09:30.90588  | admins   |              1 |              1
   157031 | 2022-05-02 17:09:45.790872 | admins   |              3 |              3
   157032 | 2022-05-02 17:12:36.623466 | admins   |              5 |              5
   157033 | 2022-05-02 17:14:42.333597 | admins   |              2 |              2
   157034 | 2022-05-02 17:15:42.202475 | admins   |              2 |              2
   157035 | 2022-05-02 17:16:49.25746  | admins   |              0 |              0
   157036 | 2022-05-02 17:19:23.087393 | admins   |              3 |              3
